index,match_id,period,minute,second,player,team,possession,possession_team,type,play_pattern,duel_type,duel_outcome,duration,pass_outcome,shot_statsbomb_xg,outcome_goal,location_x,location_y,time_sec,home_score,away_score,state_match,time_sec_home_lead,time_sec_draw,time_sec_away_lead
5,3900590,1,0,0,Ousmane Dembélé,Rennes,2,Rennes,Pass,From Kick Off,,,0.953214,,,0,60.0,40.0,0,0,0,draw,0,0,0
7,3900590,1,0,2,Juan Fernando Quintero Paniagua,Rennes,2,Rennes,Pass,From Kick Off,,,1.634057,,,0,59.7,37.8,2,0,0,draw,0,2,0
9,3900590,1,0,4,Sylvain Armand,Rennes,2,Rennes,Carry,From Kick Off,,,0.849685,,,0,36.3,21.7,4,0,0,draw,0,4,0
10,3900590,1,0,4,Sylvain Armand,Rennes,2,Rennes,Pass,From Kick Off,,,2.036421,,,0,36.3,21.7,4,0,0,draw,0,4,0
12,3900590,1,0,6,Fallou Diagne,Rennes,2,Rennes,Carry,From Kick Off,,,2.168596,,,0,26.3,54.3,6,0,0,draw,0,6,0
13,3900590,1,0,9,Fallou Diagne,Rennes,2,Rennes,Pass,From Kick Off,,,1.390079,,,0,28.7,56.2,9,0,0,draw,0,9,0
15,3900590,1,0,10,Giovanni-Guy Yann Sio,Rennes,2,Rennes,Carry,From Kick Off,,,1.170019,,,0,57.2,68.4,10,0,0,draw,0,10,0
16,3900590,1,0,11,Pablo Jean Antoine Martínez,Gazélec Ajaccio,2,Rennes,Pressure,From Kick Off,,,0.675092,,,0,58.0,10.5,11,0,0,draw,0,11,0
17,3900590,1,0,11,Giovanni-Guy Yann Sio,Rennes,2,Rennes,Pass,From Kick Off,,,2.286665,Incomplete,,0,56.2,67.0,11,0,0,draw,0,11,0
19,3900590,1,0,14,Mohamed Larbi,Gazélec Ajaccio,3,Gazélec Ajaccio,Ball Recovery,Regular Play,,,0.0,,,0,78.5,35.3,14,0,0,draw,0,14,0
20,3900590,1,0,14,Mohamed Larbi,Gazélec Ajaccio,3,Gazélec Ajaccio,Carry,Regular Play,,,0.910014,,,0,78.5,35.3,14,0,0,draw,0,14,0
21,3900590,1,0,14,Mohamed Larbi,Gazélec Ajaccio,3,Gazélec Ajaccio,Pass,Regular Play,,,1.572394,,,0,78.8,34.8,14,0,0,draw,0,14,0
22,3900590,1,0,16,Gélson da Conceição Tavares Fernandes,Rennes,3,Gazélec Ajaccio,Pressure,Regular Play,,,0.718514,,,0,31.9,28.7,16,0,0,draw,0,16,0
24,3900590,1,0,16,John Tshibumbu,Gazélec Ajaccio,3,Gazélec Ajaccio,Carry,Regular Play,,,0.607702,,,0,87.2,54.6,16,0,0,draw,0,16,0
25,3900590,1,0,17,John Tshibumbu,Gazélec Ajaccio,3,Gazélec Ajaccio,Pass,Regular Play,,,1.753727,,,0,86.3,57.0,17,0,0,draw,0,17,0
27,3900590,1,0,18,David Ducourtioux,Gazélec Ajaccio,3,Gazélec Ajaccio,Carry,Regular Play,,,2.477888,,,0,80.7,71.6,18,0,0,draw,0,18,0
28,3900590,1,0,21,David Ducourtioux,Gazélec Ajaccio,3,Gazélec Ajaccio,Pass,Regular Play,,,2.546342,Incomplete,,0,89.2,77.5,21,0,0,draw,0,21,0
31,3900590,1,0,23,Benoît Guy Robert Costil,Rennes,4,Rennes,Carry,From Keeper,,,13.839958,,,0,6.5,40.2,23,0,0,draw,0,23,0
32,3900590,1,0,37,Benoît Guy Robert Costil,Rennes,4,Rennes,Pass,From Keeper,,,3.162574,Incomplete,,0,14.3,50.9,37,0,0,draw,0,37,0
34,3900590,1,0,40,Pablo Jean Antoine Martínez,Gazélec Ajaccio,4,Rennes,Pass,From Keeper,,,1.621988,Unknown,,0,44.6,26.5,40,0,0,draw,0,40,0
35,3900590,1,0,42,Fallou Diagne,Rennes,4,Rennes,Pressure,From Keeper,,,0.596529,,,0,49.4,51.9,42,0,0,draw,0,42,0
37,3900590,1,0,42,Fallou Diagne,Rennes,4,Rennes,Foul Committed,From Keeper,,,0.0,,,0,50.8,51.9,42,0,0,draw,0,42,0
38,3900590,1,0,42,Jacques Zoua Daogari,Gazélec Ajaccio,4,Rennes,Foul Won,From Keeper,,,0.0,,,0,69.3,28.2,42,0,0,draw,0,42,0
40,3900590,1,1,35,Damjan Đoković,Gazélec Ajaccio,5,Gazélec Ajaccio,Pass,From Free Kick,,,4.096422,,,0,68.8,27.8,95,0,0,draw,0,95,0
42,3900590,1,1,40,Paul-Georges Ntep de Madiba,Rennes,5,Gazélec Ajaccio,Pressure,From Free Kick,,,0.363551,,,0,23.1,3.7,100,0,0,draw,0,100,0
43,3900590,1,1,40,Alexandre Coeff,Gazélec Ajaccio,5,Gazélec Ajaccio,Pass,From Free Kick,,,0.990489,,,0,90.4,77.0,100,0,0,draw,0,100,0
45,3900590,1,1,41,Mohamed Larbi,Gazélec Ajaccio,5,Gazélec Ajaccio,Carry,From Free Kick,,,0.040000003,,,0,96.8,57.3,101,0,0,draw,0,101,0
46,3900590,1,1,41,Mohamed Larbi,Gazélec Ajaccio,5,Gazélec Ajaccio,Pass,From Free Kick,,,0.123432,Incomplete,,0,96.8,57.0,101,0,0,draw,0,101,0
47,3900590,1,1,42,Gélson da Conceição Tavares Fernandes,Rennes,5,Gazélec Ajaccio,Block,From Free Kick,,,0.0,,,0,21.1,26.0,102,0,0,draw,0,102,0
48,3900590,1,1,43,Paul-Georges Ntep de Madiba,Rennes,6,Rennes,Pass,Regular Play,,,1.325954,,,0,20.6,5.8,103,0,0,draw,0,103,0
50,3900590,1,1,44,Juan Fernando Quintero Paniagua,Rennes,6,Rennes,Carry,Regular Play,,,2.730118,,,0,34.3,16.0,104,0,0,draw,0,104,0
51,3900590,1,1,44,Mohamed Larbi,Gazélec Ajaccio,6,Rennes,Pressure,Regular Play,,,2.740952,,,0,88.5,66.0,104,0,0,draw,0,104,0
52,3900590,1,1,47,Juan Fernando Quintero Paniagua,Rennes,6,Rennes,Pass,Regular Play,,,1.925415,,,0,45.3,21.0,107,0,0,draw,0,107,0
54,3900590,1,1,49,Giovanni-Guy Yann Sio,Rennes,6,Rennes,Carry,Regular Play,,,0.295119,,,0,57.0,53.9,109,0,0,draw,0,109,0
55,3900590,1,1,49,Giovanni-Guy Yann Sio,Rennes,6,Rennes,Pass,Regular Play,,,0.709877,,,0,57.0,51.6,109,0,0,draw,0,109,0
57,3900590,1,1,50,Benjamin André,Rennes,6,Rennes,Carry,Regular Play,,,0.873054,,,0,58.1,45.3,110,0,0,draw,0,110,0
58,3900590,1,1,50,Damjan Đoković,Gazélec Ajaccio,6,Rennes,Pressure,Regular Play,,,0.787298,,,0,61.2,34.1,110,0,0,draw,0,110,0
59,3900590,1,1,51,Benjamin André,Rennes,6,Rennes,Pass,Regular Play,,,2.229473,,,0,62.8,52.6,111,0,0,draw,0,111,0
61,3900590,1,1,53,Romain Danzé,Rennes,6,Rennes,Carry,Regular Play,,,1.001409,,,0,65.5,73.0,113,0,0,draw,0,113,0
62,3900590,1,1,53,Pablo Jean Antoine Martínez,Gazélec Ajaccio,6,Rennes,Pressure,Regular Play,,,0.538326,,,0,50.0,8.3,113,0,0,draw,0,113,0
63,3900590,1,1,54,Romain Danzé,Rennes,6,Rennes,Dribble,Regular Play,,,0.0,,,0,68.7,71.8,114,0,0,draw,0,114,0
64,3900590,1,1,54,Pablo Jean Antoine Martínez,Gazélec Ajaccio,6,Rennes,Duel,Regular Play,Tackle,Lost Out,0.0,,,0,51.4,8.3,114,0,0,draw,0,114,0
65,3900590,1,2,3,Romain Danzé,Rennes,7,Rennes,Pass,From Throw In,,,1.217423,,,0,69.9,80.0,123,0,0,draw,0,123,0
66,3900590,1,2,4,Pablo Jean Antoine Martínez,Gazélec Ajaccio,7,Rennes,Pressure,From Throw In,,,0.737082,,,0,38.8,8.7,124,0,0,draw,0,124,0
68,3900590,1,2,4,Giovanni-Guy Yann Sio,Rennes,7,Rennes,Carry,From Throw In,,,0.60890603,,,0,81.0,71.1,124,0,0,draw,0,124,0
69,3900590,1,2,5,Damjan Đoković,Gazélec Ajaccio,7,Rennes,Pressure,From Throw In,,,0.360591,,,0,42.5,10.1,125,0,0,draw,0,125,0
70,3900590,1,2,5,Giovanni-Guy Yann Sio,Rennes,7,Rennes,Pass,From Throw In,,,0.91783,,,0,77.6,71.8,125,0,0,draw,0,125,0
72,3900590,1,2,6,Romain Danzé,Rennes,7,Rennes,Pass,From Throw In,,,2.846413,Incomplete,,0,71.1,74.5,126,0,0,draw,0,126,0
74,3900590,1,2,9,Jérémie Bréchet,Gazélec Ajaccio,7,Rennes,Pass,From Throw In,,,3.72842,Incomplete,,0,26.6,12.4,129,0,0,draw,0,129,0
76,3900590,1,2,12,John Tshibumbu,Gazélec Ajaccio,7,Rennes,Duel,From Throw In,Aerial Lost,,0.0,,,0,63.6,45.3,132,0,0,draw,0,132,0
77,3900590,1,2,12,Cheikh M''Bengue,Rennes,7,Rennes,Pass,From Throw In,,,1.455709,,,0,56.5,34.8,132,0,0,draw,0,132,0
79,3900590,1,2,14,Paul-Georges Ntep de Madiba,Rennes,7,Rennes,Pass,From Throw In,,,1.650092,,,0,63.3,27.1,134,0,0,draw,0,134,0
81,3900590,1,2,16,Juan Fernando Quintero Paniagua,Rennes,7,Rennes,Carry,From Throw In,,,5.214238,,,0,61.7,14.4,136,0,0,draw,0,136,0
82,3900590,1,2,21,Juan Fernando Quintero Paniagua,Rennes,7,Rennes,Pass,From Throw In,,,1.047408,,,0,78.2,6.3,141,0,0,draw,0,141,0
84,3900590,1,2,22,Ousmane Dembélé,Rennes,7,Rennes,Carry,From Throw In,,,1.217559,,,0,85.5,19.0,142,0,0,draw,0,142,0
85,3900590,1,2,22,Jérémie Bréchet,Gazélec Ajaccio,7,Rennes,Pressure,From Throw In,,,1.006924,,,0,33.9,58.9,142,0,0,draw,0,142,0
86,3900590,1,2,23,Ousmane Dembélé,Rennes,7,Rennes,Pass,From Throw In,,,0.883251,,,0,79.4,23.7,143,0,0,draw,0,143,0
88,3900590,1,2,24,Benjamin André,Rennes,7,Rennes,Carry,From Throw In,,,1.246443,,,0,69.6,28.5,144,0,0,draw,0,144,0
89,3900590,1,2,24,David Ducourtioux,Gazélec Ajaccio,7,Rennes,Pressure,From Throw In,,,0.489933,,,0,48.2,54.6,144,0,0,draw,0,144,0
91,3900590,1,2,25,Benjamin André,Rennes,7,Rennes,Dribble,From Throw In,,,0.0,,,0,74.2,31.6,145,0,0,draw,0,145,0
92,3900590,1,2,25,Benjamin André,Rennes,7,Rennes,Carry,From Throw In,,,1.465408,,,0,74.2,31.6,145,0,0,draw,0,145,0
93,3900590,1,2,27,Mohamed Larbi,Gazélec Ajaccio,7,Rennes,Foul Committed,From Throw In,,,0.0,,,0,42.7,45.5,147,0,0,draw,0,147,0
94,3900590,1,2,27,Benjamin André,Rennes,7,Rennes,Foul Won,From Throw In,,,0.0,,,0,77.4,34.6,147,0,0,draw,0,147,0
95,3900590,1,2,45,Benjamin André,Rennes,8,Rennes,Pass,From Free Kick,,,0.849717,,,0,78.7,41.2,165,0,0,draw,0,165,0
97,3900590,1,2,47,Romain Danzé,Rennes,8,Rennes,Shot,From Free Kick,,,0.119771,,0.009131775,0,94.3,56.9,167,0,0,draw,0,167,0
98,3900590,1,2,47,Pablo Jean Antoine Martínez,Gazélec Ajaccio,8,Rennes,Block,From Free Kick,,,0.0,,,0,22.1,25.6,167,0,0,draw,0,167,0
100,3900590,1,3,7,Ousmane Dembélé,Rennes,9,Rennes,Pass,From Corner,,,1.084704,,,0,120.0,80.0,187,0,0,draw,0,187,0
102,3900590,1,3,10,Juan Fernando Quintero Paniagua,Rennes,9,Rennes,Dribble,From Corner,,,0.0,,,0,116.2,72.7,190,0,0,draw,0,190,0
