index,match_id,period,minute,second,player,team,possession,possession_team,type,play_pattern,duel_type,duel_outcome,duration,pass_outcome,shot_statsbomb_xg,outcome_goal,location_x,location_y,time_sec,home_score,away_score,state_match,time_sec_home_lead,time_sec_draw,time_sec_away_lead
5,3829521,1,0,0,Diego Alejandro Rolan Silva,Bordeaux,2,Bordeaux,Pass,From Kick Off,,,0.647553,,,0,61.0,40.1,0,0,0,draw,0,0,0
7,3829521,1,0,0,Enzo Crivelli,Bordeaux,2,Bordeaux,Carry,From Kick Off,,,0.420928,,,0,60.8,43.2,0,0,0,draw,0,0,0
8,3829521,1,0,1,Enzo Crivelli,Bordeaux,2,Bordeaux,Pass,From Kick Off,,,0.85111,,,0,60.6,44.0,1,0,0,draw,0,1,0
10,3829521,1,0,2,Clément Chantôme,Bordeaux,2,Bordeaux,Carry,From Kick Off,,,0.836375,,,0,51.8,41.0,2,0,0,draw,0,2,0
11,3829521,1,0,2,Corentin Jean,Troyes,2,Bordeaux,Pressure,From Kick Off,,,0.61062,,,0,64.4,33.9,2,0,0,draw,0,2,0
12,3829521,1,0,3,Clément Chantôme,Bordeaux,2,Bordeaux,Pass,From Kick Off,,,1.077263,,,0,52.2,41.5,3,0,0,draw,0,3,0
14,3829521,1,0,4,Jaroslav Plašil,Bordeaux,2,Bordeaux,Carry,From Kick Off,,,1.374186,,,0,50.9,26.0,4,0,0,draw,0,4,0
15,3829521,1,0,5,Jaroslav Plašil,Bordeaux,2,Bordeaux,Pass,From Kick Off,,,1.206784,,,0,50.5,19.6,5,0,0,draw,0,5,0
17,3829521,1,0,6,Maxime Poundjé,Bordeaux,2,Bordeaux,Carry,From Kick Off,,,4.170545,,,0,64.0,8.5,6,0,0,draw,0,6,0
18,3829521,1,0,7,Stéphane Darbion,Troyes,2,Bordeaux,Pressure,From Kick Off,,,3.744933,,,0,52.9,65.6,7,0,0,draw,0,7,0
19,3829521,1,0,10,Maxime Poundjé,Bordeaux,2,Bordeaux,Dispossessed,From Kick Off,,,0.0,,,0,90.7,5.9,10,0,0,draw,0,10,0
20,3829521,1,0,10,Stéphane Darbion,Troyes,2,Bordeaux,Duel,From Kick Off,Tackle,Lost Out,0.0,,,0,29.4,74.2,10,0,0,draw,0,10,0
21,3829521,1,0,16,Maxime Poundjé,Bordeaux,3,Bordeaux,Pass,From Throw In,,,0.529018,,,0,105.5,0.1,16,0,0,draw,0,16,0
23,3829521,1,0,17,Thomas Ayasse,Troyes,3,Bordeaux,Pressure,From Throw In,,,3.276711,,,0,20.4,70.1,17,0,0,draw,0,17,0
24,3829521,1,0,20,Benjamin Nivet,Troyes,3,Bordeaux,Pressure,From Throw In,,,0.713305,,,0,37.3,70.1,20,0,0,draw,0,20,0
